"Source:","/home/greg/projects/ArcticKoala/hw/ArcticKoala-r0.1/arctic-koala.sch"
"Date:","Mon 16 Dec 2019 09:15:44 ACDT"
"Tool:","Eeschema 5.1.4-e60b266~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Key","MFN","Mfg","PN","Source"
"","","R26","470R","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4700X","ANY"
"","","R27","2k2","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
"","","R28","2k2","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF2201X","ANY"
"","","R29","4k7","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-2k2","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF4701X","ANY"
"","","R30","330E","pkl_R_Small","pkl_dipol:R_0402","","","","res-0402-330","","PANASONIC ELECTRONIC COMPONENTS (VA)","ERJ-2RKF3300X","ANY"
"","","SW1","TACT","TACT","pkl_buttons_switches:SW_SPST_3x4x2.5","","","","sw-tact-top-3x4x25","","C&K (VA)","KMR621NG LFS",""
"","","U1","93C46B-SOT-23-6","93C46-SOT-23-6","pkl_housings_sot:SOT-23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/20001749K.pdf","","EEPROM 1KBit 2MHz SOT-23-6","eeprom-sot23-6-93c46b","93C46B","Microchip Technology (VA)","93C46BT-I/OT","ANY"
"","","U2","PSRAM","W25Q","pkl_housings_soic:SOIC-8_5.3x5.3mm_Pitch1.27mm","https://www.winbond.com/resource-files/w25q128jv%20dtr%20revb%2011042016.pdf","","","eeprom-so8w-W25Q","W25Q128JVSIM","Lyontek Inc.","LY68L6400SLIT","ANY"
"","","U3","TPD4EUSB30","TPD4EUSB30","Package_SON:USON-10_2.5x1.0mm_P0.5mm","http://www.ti.com/lit/ds/symlink/tpd2eusb30a.pdf","","","","","Texas Instruments","TPD4E05U06DQAR",""
"","","U4","FT2232H","FT2232H","pkl_housings_dfn_qfn:QFN-64-4.45mm1EP_9x9mm_Pitch0.5mm","","","","ic-ft2232h","","FTDI, Future Technology Devices International Ltd (VA)","FT2232HQ-REEL","ANY"
"","","U5","W25Q128JV-DTR","W25Q","pkl_housings_soic:SOIC-8_5.3x5.3mm_Pitch1.27mm","https://www.winbond.com/resource-files/w25q128jv%20dtr%20revb%2011042016.pdf","","","eeprom-so8w-W25Q","W25Q128JVSIM","Winbond Electronics (VA)","W25Q128JVSIM TR","ANY"
"","","U6","LIFCL40-NX","LIFCL40-NX","Package_DFN_QFN:QFN-72-1EP_10x10mm_P0.5mm_EP6x6mm","","","","","","Lattice Semiconductor Corporation","LIFCL-40-8SG72CES",""
"","","U7","12MHz","pkl_oscillator_sit2001","pkl_housings_sot:SOT-23-5","","","","xtal-sot23-5-12mhz-osc","","SiTIME (VA)","SIT2001BI-S2-33E-12.000000G","ANY"
